Zip,Total_Population,Male_Population,Female_Population
12788,3122,2071,1051
12789,2654,1114,1540
12790,4341,2421,1920
12791,589,294,295
12792,171,123,48
12801,14689,7459,7230
12803,8915,4493,4422
12804,28175,13687,14488
12808,283,125,158
12809,3639,1767,1872
12810,488,236,252
12811,177,107,70
12812,265,158,107
12814,1145,673,472
12815,999,539,460
12816,4692,2211,2481
12817,2023,1015,1008
12819,292,148,144
12820,14,7,7
12821,2228,2048,180
12822,6149,3259,2890
12823,682,284,398
12824,1022,512,510
12827,3935,2103,1832
12828,9775,4862,4913
12831,17834,8612,9222
12832,6395,3195,3200
12833,5368,2680,2688
12834,6137,3022,3115
12835,2700,1377,1323
12836,473,249,224
12837,943,481,462
12838,699,395,304
12839,13618,7080,6538
12841,87,26,61
12842,952,494,458
12843,729,400,329
12844,207,109,98
12845,4389,2114,2275
12846,3007,1635,1372
12847,667,330,337
12849,398,163,235
12850,2537,1386,1151
12851,304,162,142
12852,381,202,179
12853,1384,540,844
12854,98,13,85
12855,198,99,99
12856,300,94,206
12857,613,290,323
12858,167,83,84
12859,1629,818,811
12860,377,221,156
12861,516,273,243
12862,149,44,105
12863,870,463,407
12864,9,5,4
12865,3353,1680,1673
12866,39657,19164,20493
12870,1770,877,893
12871,3997,2186,1811
12872,0,0,0
12873,820,352,468
12874,154,70,84
12878,768,341,427
12883,4781,2558,2223
12884,567,280,287
12885,4531,2327,2204
12886,199,105,94
12887,4629,2168,2461
12901,32012,15554,16458
12903,1740,762,978
12910,1994,1263,731
12911,44,23,21
12912,1860,947,913
12913,1128,554,574
12914,892,474,418
12915,61,37,24
12916,2250,1191,1059
12917,1194,516,678
12918,2762,1446,1316
12919,2789,1333,1456
12920,2509,1276,1233
12921,2771,1440,1331
12922,33,18,15
12923,463,241,222
12924,230,80,150
12926,2493,1228,1265
12927,308,150,158
12928,1805,889,916
12929,2882,2438,444
12930,866,386,480
12932,1183,557,626
12933,7,3,4
12934,1147,608,539
12935,1159,562,597
12936,693,359,334
12937,1340,652,688
12939,162,105,57
12941,1477,888,589
12942,462,225,237
12943,293,102,191
12944,4043,1889,2154
12945,535,271,264
12946,4805,2348,2457
12950,701,318,383
12952,226,107,119
12953,12842,7427,5415
12955,494,246,248
12956,1538,694,844
12957,1721,912,809
12958,1650,814,836
12959,1790,928,862
12960,995,476,519
12961,92,14,78
12962,5131,2432,2699
12964,46,31,15
12965,281,169,112
12966,2962,1518,1444
12967,1363,729,634
12969,253,130,123
12970,1022,585,437
12972,7063,3587,3476
12973,136,81,55
12974,1545,720,825
12975,107,37,70
12976,196,86,110
12977,1186,1170,16
12978,243,111,132
12979,2542,1318,1224
12980,1064,566,498
12981,2233,1185,1048
12983,7410,3944,3466
12985,775,416,359
12986,5304,2629,2675
12987,188,84,104
12989,1012,530,482
12992,4129,2028,2101
12993,1730,1008,722
12996,1937,885,1052
12997,1280,636,644
12998,334,148,186
13020,117,51,66
13021,37479,18065,19414
13024,1209,1209,0
13026,1703,900,803
13027,35233,17247,17986
13028,913,507,406
13029,7594,3816,3778
13030,3611,1740,1871
13031,16076,8158,7918
13032,12964,6611,6353
13033,3660,1868,1792
13034,2088,1152,936
13035,8191,3732,4459
13036,9079,4578,4501
13037,9519,5059,4460
13039,17184,8348,8836
13040,2683,1355,1328
13041,12094,5913,6181
13042,1884,1032,852
13044,2884,1727,1157
13045,28388,13851,14537
13051,52,46,6
13052,1762,816,946
13053,4756,2222,2534
13054,1289,626,663
13057,14476,7214,7262
13060,2845,1334,1511
13061,641,314,327
13062,241,112,129
13063,1644,777,867
13065,131,51,80
13066,12680,5756,6924
13068,4464,2234,2230
13069,23176,11705,11471
13071,760,397,363
13072,811,417,394
13073,6246,3013,3233
13074,4471,2291,2180
13076,2521,1323,1198
13077,6567,3293,3274
13078,10564,5301,5263
13080,3282,1523,1759
13081,1094,548,546
13082,4177,2057,2120
13083,1861,929,932
13084,3764,1768,1996
13087,252,141,111
13088,21875,10634,11241
13090,29180,14256,14924
13092,2707,1475,1232
13101,2221,1249,972
13102,67,34,33
13103,239,151,88
13104,16504,7935,8569
13108,6144,3074,3070
13110,2374,1139,1235
13111,1660,864,796
13112,1827,808,1019
13113,41,17,24
13114,7313,3702,3611
13115,223,113,110
13116,3657,2091,1566
13117,211,81,130
13118,5514,2964,2550
13119,0,0,0
13120,1881,860,1021
13121,0,0,0
13122,1289,557,732
13123,35,0,35
13124,95,46,49
13126,36199,17742,18457
13131,2856,1305,1551
13132,3561,1870,1691
13134,129,109,20
13135,6229,2915,3314
13136,377,175,202
13138,209,162,47
13140,4192,2109,2083
13141,643,361,282
13142,6568,3227,3341
13143,2405,1189,1216
13144,1105,559,546
13145,1794,1010,784
13146,2050,1043,1007
13147,1043,539,504
13148,10798,5230,5568
13152,7548,3870,3678
13153,510,246,264
13154,38,13,25
13155,654,335,319
13156,2108,1128,980
13157,547,295,252
13158,1377,758,619
13159,5297,2650,2647
13160,2321,1138,1183
13162,150,38,112
13163,334,156,178
13164,2695,1339,1356
13165,9429,4620,4809
13166,5667,3191,2476
13167,2984,1517,1467
13202,6842,3692,3150
13203,17387,8574,8813
13204,19511,9114,10397
13205,18562,8492,10070
13206,16848,8604,8244
13207,12383,5896,6487
13208,22549,11088,11461
13209,12995,6021,6974
13210,19298,9173,10125
13211,6155,2783,3372
13212,20185,9803,10382
13214,8713,4012,4701
13215,14599,7355,7244
13219,15546,7397,8149
13224,8638,4212,4426
13244,8816,3786,5030
13290,0,0,0
13301,113,74,39
13302,1403,709,694
13303,1455,709,746
13304,1841,914,927
13305,421,253,168
13308,4239,1950,2289
13309,5828,2882,2946
13310,731,426,305
13312,288,153,135
13313,562,305,257
13314,145,60,85
13315,1239,600,639
13316,5924,2901,3023
13317,3970,1994,1976
13318,982,508,474
13319,434,259,175
13320,2027,1024,1003
13321,815,339,476
13322,1059,575,484
13323,11014,5343,5671
13324,1714,938,776
13325,882,488,394
13326,4536,2280,2256
13327,1956,1075,881
13328,1302,661,641
13329,3326,1702,1624
13331,175,88,87
13332,2695,1463,1232
13333,40,14,26
13334,887,502,385
13335,1388,743,645
13337,690,306,384
13338,1293,671,622
13339,6131,3238,2893
13340,7322,3712,3610
13342,263,149,114
13343,1543,854,689
13345,184,84,100
13346,6275,3104,3171
13348,1529,839,690
13350,9641,4616,5025
13352,21,20,1
13353,54,25,29
13354,3124,1557,1567
13355,883,471,412
13357,10073,4837,5236
13360,193,118,75
13361,666,335,331
13363,2290,1124,1166
13364,359,162,197
13365,8545,4456,4089
